Link,Title,Description
https://www.youtube.com/c/DawnNewsEnglish,2024 Elections: What’s at stake for India’s minorities?,
https://www.youtube.com/watch?v=UeSr8kxz7kE,From screens to streets: How Gen Z is disrupting the status quo and redefining activism,
https://www.youtube.com/watch?v=UeSr8kxz7kE,"Art group employs brainwaves, AI to  recreate landscapes",
/latest-news,Pakistan’s iCube-Qamar beams back first images from moon’s orbit,
https://www.youtube.com/watch?v=DLnFKstpqSM,"People with two copies of a risk gene have genetic form of Alzheimer’s, say scientists",
https://www.youtube.com/watch?v=ax6GtKBV4o4,FIFA’S FOUL ON PAKISTAN FOOTBALL,
https://www.youtube.com/watch?v=ax6GtKBV4o4,ESSAY: WE’RE READY FOR YOUR CLOSE-UP NOW,
https://www.youtube.com/watch?v=6Y6pv4dgwok,FOOTBALL: GIRLS KICKING MOUNTAINS,
https://www.youtube.com/watch?v=6Y6pv4dgwok,STYLE; ALL ABOUT MY MOTHER,
https://www.youtube.com/watch?v=368pk1LtbvY,"SOUNDSCAPE: AND NOW, AI MUSIC",
https://www.youtube.com/watch?v=368pk1LtbvY,THE GRAPEVINE,
https://www.youtube.com/watch?v=ZKNxVl6yFyc,Packaging film sector on the rise,
https://www.youtube.com/watch?v=ZKNxVl6yFyc,Tax reforms — easier than expected,
https://www.youtube.com/watch?v=1j9DKEupIUY,Wheat’s tricky procurement,
https://www.youtube.com/watch?v=1j9DKEupIUY,Echoes of love,
https://www.youtube.com/watch?v=2FbxyFxRHdM,Mailbox,
https://www.youtube.com/watch?v=2FbxyFxRHdM,Mother’s Day: A letter to my mum,
/must-read,Challenges working mothers face in the corporate sector,
https://www.dawn.com/news/1332592,"Samiya Mumtaz: “To act commercially felt like I was selling my soul to earn, but I put myself out there.”",
https://www.dawn.com/news/1332592,How digitisation can affect agri-financing,
https://www.dawn.com/news/1555087/mothers-day-reflections-of-a-mother,State Grid Anhui Electric Power Research Institute uses digital tools to prevent floods,
https://www.dawn.com/news/1555087/mothers-day-reflections-of-a-mother,2024 Zambia-China Culture and Tourism Year kicks off in Beijing,
https://www.dawn.com/news/1832981,Onus on US to stop Gaza conflict and grant Palestine full UN membership,
https://www.dawn.com/news/1555087/mothers-day-reflections-of-a-mother,State Grid Anhui Electric Power Research Institute uses digital tools to prevent floods,
https://www.dawn.com/news/1555087/mothers-day-reflections-of-a-mother,2024 Zambia-China Culture and Tourism Year kicks off in Beijing,
https://www.dawn.com/news/1832981,Onus on US to stop Gaza conflict and grant Palestine full UN membership,
